"2017-06-22","绍兴市上虞区上海家化销售有限公司","330682000014566","3306820000058214","D53EFF68A65E52F6AB69A55A541644F8B08685D23A98ADDAD07DF06B5581D85C","91330604721007384Y"
"2017-06-22","绍兴上虞东明化工有限公司","330682000014574","3306820000108924","F5B73B757266A9A232FCA72928184B00B08685D23A98ADDAD07DF06B5581D85C","91330604670285762T"
"2017-06-22","上虞市鲤鱼餐饮管理有限公司","330682000014582","3306820000108925","07E2E52E2D82BCB523CFA2D97F100E5BB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞区龙祥包装材料厂","330682000014599","3306820000108928","4553B6DA08304316C1A7FD36D578AE3BB08685D23A98ADDAD07DF06B5581D85C","91330604670285789J"
"2017-06-22","上海陆家嘴物业管理有限公司上虞分公司","330682000014603","3306820000108929","029BC1AF95C62E8F54E58BC6D89BDBD2B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","浙江凯旋门澳门豆捞控股集团有限公司上虞分公司","330682000014611","3306820000108931","9E059356FA4D1EFB4A1F3E7EBF66F519B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞通达工业气体有限公司","330682000014620","3306823000000270","6C7CF8C7D6ADBA726A2CB8B6A8B744DFB08685D23A98ADDAD07DF06B5581D85C","91330604609674793M"
"2017-06-22","绍兴市上虞极亮塑业有限公司","330682000014638","3306820000108932","D9CEDF50643B805D927E327F3FB6C127B08685D23A98ADDAD07DF06B5581D85C","91330604670285797D"
"2017-06-22","绍兴市上虞明杰化工有限公司","330682000014646","3306820000108938","D5113549F8755C64292DFBDE78AF7A4CB08685D23A98ADDAD07DF06B5581D85C","91330604670283943Q"
"2017-06-22","上虞斯诺电子照明有限公司","330682000014654","3306820000108939","E30A72486FAC051132E441D1C938E023B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市阿凡提网络休闲会所","330682000014662","3306820000082549","F4061889786D64D0622321DD8CB764A4B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市康富商贸有限公司","330682000014679","3306820000108942","B84EDD6524FB9BACDC8A8DE9EBCC255BB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市百官街道至诚五金经营部","330682000014687","3306820000108947","5D495668CF62BFE6DB14AEA350F2658CB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市百官恒利模配商行头甲分店","330682000014695","3306820000108948","B210B4E4B26A678CBD04C852C91D7DA8B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴上虞盖北冷冻厂","330682000014718","3306824000001834","61DE1E96B51DF2DDC3FED3FD4ACB2D1AB08685D23A98ADDAD07DF06B5581D85C","913306041461347494"
"2017-06-22","上虞市金煌建材有限公司","330682000014726","3306820000103998","8E9E698AECCCB7E6C7CCBB21F7DD8156B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴上虞晨辉光电检测有限公司","330682000014734","3306820000108961","38DD64B21BB3ECBD135426245EFC7BA6B08685D23A98ADDAD07DF06B5581D85C","913306046702931648"
"2017-06-22","上虞伊丽纱家纺服饰有限公司","330682000014759","3306820000108964","19820E457D7457FED5EBD850AE2CDA28B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞区百官苗灿衡器商行","330682000014767","3306820000108965","E7024D2DBA32BA13AC3D42E035AB6AAEB08685D23A98ADDAD07DF06B5581D85C","913306046702908448"
"2017-06-22","上虞市宝信物资经营部","330682000014775","3306820000108972","241B575917870AEE7E58BE0A70603A80B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴晟丹家具制造有限公司","330682000014783","3306820000108973","2A82871D5E909B34B7EFA49491F717C2B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴佳诚园林绿化建设发展有限公司","330682000014791","3306820000089588","F347F1F6D78BB9D3B8192D38D74F4346B08685D23A98ADDAD07DF06B5581D85C","91330604761320842X"
"2017-06-22","浙江佳诚市政建设发展有限公司","330682000014806","3306820000086884","D12555B91122DB01A2032050626DC5FBB08685D23A98ADDAD07DF06B5581D85C","9133060475594865XN"
"2017-06-22","绍兴市上虞区宏达公路建设有限公司","330682000014814","3306820000080751","F9AC854FD774E3DA892A4B3EA067A457B08685D23A98ADDAD07DF06B5581D85C","9133060473990709X7"
"2017-06-22","绍兴上虞百易贸易有限公司","330682000014822","3306820000108983","1E1153A445D6E03A9545060FB78CF575B08685D23A98ADDAD07DF06B5581D85C","91330604670290895G"
"2017-06-22","浙江共速达物流发展有限公司","330682000014839","3306820000102699","667CE9353521F8164E1B5FC0BBD51BD1B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市豪波机械设备制造有限公司","330682000014847","3306820000108985","F2351AD7A2C0C446B5875BA1568CA7E1B08685D23A98ADDAD07DF06B5581D85C","91330604670290879T"
"2017-06-22","绍兴市上虞区顺超化工有限公司","330682000014855","3306820000108986","D90BE652DEDCC5CBE0E5D1E1EDBFAB97B08685D23A98ADDAD07DF06B5581D85C","91330604670293148J"
"2017-06-22","上虞市牛山陵园有限责任公司","330682000014863","3306820000070599","91156A8EE53B82D213236ABF709AEE3BB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞樟建设备租赁有限公司","330682000014871","3306820000088113","804B17883BC6B0D866A31CF8A5BE2BECB08685D23A98ADDAD07DF06B5581D85C","913306047590506950"
"2017-06-22","上虞市樟建置业有限公司","330682000014880","3306820000096044","A736368785408FF932E3F2E2DB929C81B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞区百官恒利模配商行","330682000014898","3306820000082176","CD9812D4CB452C282A956DC56B251E62B08685D23A98ADDAD07DF06B5581D85C","913306047392360709"
"2017-06-22","上虞市百隆商务咨询服务有限公司","330682000014902","3306820000108990","B563ED437162E34E9337B9806C059E86B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴富诺商贸有限公司","330682000014919","3306820000108991","CFA43BF53BAC3BAD56577214ED4E73EBB08685D23A98ADDAD07DF06B5581D85C","91330604670290924U"
"2017-06-22","上虞市春秋太阳能制品有限公司","330682000014927","3306820000108993","AAF4708A6ECA452865D793764BFE4955B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞区路通公路仪器有限公司","330682000014935","3306820000108994","F1932F6F006376F444CD298F9C4C98E4B08685D23A98ADDAD07DF06B5581D85C","91330604670294511P"
"2017-06-22","上虞市金益宁拆迁有限公司","330682000014943","3306820000089648","5C8472FDD42113BC8A787306372C8DA5B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞中鑫消防工程有限公司","330682000014951","3306820000070608","62451CC5513E4E803C7D258A26A64486B08685D23A98ADDAD07DF06B5581D85C","9133060473381831X7"
